Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510050554	7176.2	7176.19	7176.2	7176.2	7176.2	70	2.64189493	6942.54	7409.54	7177.588203	7183.461397	-6.632768	0.759574	0.292078	0.856455	25.43	-47.94	4.74136063	0.0
1510050674	7176.2	7176.19	7176.2	7176.2	7176.2	34	3.20287205	6942.65	7409.96	7177.374633	7182.923516	-6.415991	0.867108	0.271215	0.79528	25.43	-48.26	4.50467008	0.0
1510050794	7176.2	7175.01	7175.51	7176.2	7175.02	75	7.21668671	6944.11	7409.54	7177.087766	7182.374367	-6.190113	0.903512	0.251842	0.82276	23.44	-48.98	4.92190341	-7.21668671
1510050914	7175.02	7175.01	7175.02	7175.02	7175.02	34	5.20929411	6944.85	7409.28	7176.769648	7181.829599	-5.964081	0.90413	0.233853	0.763991	23.44	-49.62	4.96611736	0.0
1510051034	7175.02	7175.01	7175.01	7175.02	7175.02	42	3.42783762	6945.79	7409.37	7176.498933	7181.324444	-5.736367	0.910856	0.217149	0.70942	23.44	-50.19	4.72945894	0.0
1510051154	7175.02	7175.01	7175.02	7175.02	7175.02	38	3.65153272	6942.57	7408.61	7176.271405	7180.857448	-5.506302	0.920259	0.201638	0.658747	23.44	-50.7	4.56362414	0.0
1510051274	7175.02	7175.01	7175.02	7175.02	7175.02	34	5.32246292	6943.72	7408.55	7176.078881	7180.425044	-5.274274	0.928111	0.187235	0.611694	23.44	-51.16	4.68036857	0.0
1510051394	7175.02	7175.01	7175.02	7175.02	7175.02	40	6.89497067	6942.39	7408.54	7175.915976	7180.02467	-5.041158	0.932464	0.173861	0.568002	23.44	-51.58	5.02107659	0.0
1510051514	7175.02	7175.01	7175.02	7175.02	7175.02	51	14.27558118	6941.27	7406.61	7175.778134	7179.653954	-4.80809	0.93227	0.161442	0.52743	23.44	-51.95	6.44484653	0.0
1510051634	7175.02	7175.01	7175.02	7175.02	7175.02	40	20.57699727	6942.65	7407.7	7175.661498	7179.310698	-4.576312	0.927112	0.14991	0.489756	23.44	-52.29	8.61902357	0.0
1510051754	7175.02	7175.01	7176.15	7180.0	7180.0	49	22.39122701	6944.62	7409.3	7175.736652	7179.076572	-4.329034	0.989114	0.494916	0.454773	52.11	-44.02	10.7378241	22.39122701
1510051874	7180.0	7176.18	7185.11	7189.52	7185.86	168	26.118855	6946.94	7411.85	7177.178706	7179.523493	-3.932185	1.587398	0.878136	0.422289	67.53	-28.59	13.10413655	26.118855
1510051994	7185.86	7179.04	7185.97	7189.98	7189.59	86	23.7639754	6946.66	7411.15	7178.531213	7180.001012	-3.439708	1.969909	1.081841	0.392126	73.4	-12.77	14.74411176	23.7639754
1510052114	7189.59	7179.18	7185.73	7192.98	7190.1	88	28.46337953	6946.48	7411.64	7179.638719	7180.425381	-2.909099	2.122437	1.040995	0.364117	74.09	-0.93	16.85476834	28.46337953
1510052234	7190.1	7179.61	7188.17	7192.97	7191.19	41	7.89676321	6952.72	7426.76	7180.951224	7180.999056	-2.336846	2.289014	1.044495	0.338109	75.55	8.82	15.4766137	7.89676321
1510052354	7191.19	7181.55	7185.35	7192.99	7192.48	48	2.88786214	6947.32	7413.05	7181.627959	7181.321348	-1.808155	2.114766	1.062031	0.313958	77.18	17.2	13.53988269	2.88786214
1510052474	7192.48	7183.57	7185.6	7192.15	7185.99	25	2.4999728	6952.47	7418.62	7182.239042	7181.638285	-1.326373	1.92713	0.986172	0.755104	56.64	16.71	11.84143501	-2.4999728
1510052594	7185.99	7185.09	7185.54	7185.56	7185.29	48	3.94547955	6952.63	7414.4	7182.746882	7181.927301	-0.897182	1.716763	0.915731	0.751168	54.94	15.68	10.62667263	-3.94547955
1510052714	7185.29	7185.0	7185.01	7185.08	7185.01	27	3.70030886	6951.06	7414.99	7183.095054	7182.155649	-0.529865	1.46927	0.850322	0.717513	54.24	14.67	9.5610782	-3.70030886
1510052834	7185.01	7181.8	7182.4	7185.01	7181.81	35	2.5327704	6947.04	7413.48	7182.988123	7182.173749	-0.261017	1.075391	0.789585	0.894833	46.88	11.06	8.47980008	-2.5327704
1510052954	7181.81	7181.8	7181.81	7181.81	7181.81	49	5.73639068	6946.66	7413.01	7182.806873	7182.146805	-0.0768	0.736868	0.733186	0.830916	46.88	8.35	8.0577371	0.0
1510053074	7181.81	7181.8	7181.81	7181.81	7181.81	26	1.51091075	6947.8	7413.0	7182.653508	7182.121856	0.04489	0.486762	0.680816	0.771565	46.88	6.24	7.05053305	0.0
1510053194	7181.81	7181.8	7181.8	7181.81	7181.81	34	5.01639587	6947.95	7413.4	7182.522199	7182.098015	0.120749	0.303435	0.632186	0.716453	46.88	4.55	6.73758887	0.0
